Time,Temp_Salt_SSP245,Temp_Verde_SSP245,Temp_Maricopa_SSP245,Precip_Salt_SSP245,Precip_Verde_SSP245,Precip_Maricopa_SSP245,Temp_Salt_SSP585,Temp_Verde_SSP585,Temp_Maricopa_SSP585,Precip_Salt_SSP585,Precip_Verde_SSP585,Precip_Maricopa_SSP585
2034-02-15 00:00:00,4.902264,6.044615,14.377129,27941.40437847236,47425.48149952199,30900.272251557908,3.5524719,4.81941,12.963432,5135.388735827291,10863.883825123776,5297.336716479185
2034-03-16 12:00:00,5.7064457,6.852948,15.55403,37961.60120915738,49018.242022697814,26906.078621119923,5.3007493,6.4116473,15.575441,7202.772765695408,10003.78686273034,5896.407803367447
2034-04-16 00:00:00,10.023695,10.459483,20.161386,5407.869972168555,6827.631505964746,2524.401577788467,9.898496,10.502775,19.919308,1820.5732525675558,5022.364001670212,583.7028373421163
2034-05-16 12:00:00,16.25905,16.938522,26.820784,3504.9094939397037,11963.520893035457,4102.862226353773,15.812919,16.508606,25.699337,1038.9667080914478,270.71791467456023,0.5100000216316403
2034-06-16 00:00:00,20.784206,22.567833,31.970348,10276.294989402231,1353.422650977791,129.73025863493604,21.00971,22.382963,31.145624,118.7622233055663,150.40836106527422,0.0
2034-07-16 12:00:00,25.457865,27.18893,36.618256,17127.736312002526,8932.690978125356,7734.955275905304,24.554966,26.388067,35.118114,27315.50364192808,20225.745458438178,9129.067452844447
2034-08-16 12:00:00,22.942533,23.78681,33.379547,24571.578309999313,35020.11463449744,30818.882375507383,22.730955,24.25954,33.35968,10979.21750111418,11368.630324824335,4546.627672379327
2034-09-16 00:00:00,21.348684,22.67068,31.832724,9726.72174127365,7530.594378765272,7356.95945546513,20.971857,22.605139,31.424217,12499.666880263248,16444.988827512134,7791.126681562673
2034-10-16 12:00:00,13.296445,14.592643,23.691145,49097.72571668727,32731.122848158702,24078.741972787975,12.789234,14.33633,23.369427,28315.263719469658,14528.60883977337,21114.847420556544
2034-11-16 00:00:00,8.992861,10.647991,19.418259,16270.115881663514,16455.998760320654,13216.666821883337,8.76676,10.450762,19.085852,8515.000521227194,12418.713117018342,1563.8417497070805
2034-12-16 12:00:00,1.9556688,2.7495916,10.991871,16636.39722292428,18615.87376469979,15568.586811075511,0.75448346,1.8959146,10.269703,2984.170522122713,3273.090576516006,1853.3376138436324
2035-01-16 12:00:00,-0.69681185,-0.23686197,8.660834,19216.315560269868,17486.745348738623,22114.092752271972,0.30305526,1.5069757,9.690326,520.2350714016575,542.5762753875006,0.0
2035-02-15 00:00:00,1.8986284,3.2241263,11.421124,19710.785150388256,19627.50391268637,21569.441117177485,1.0379905,2.6678257,10.745587,4027.8190657998493,3576.59197946341,593.6864860570495
2035-03-16 12:00:00,5.076307,6.7195516,15.263059,19770.565541629912,19347.62700557476,19973.666167857573,5.399318,7.125202,15.270294,5393.568245311326,4107.427069578625,4038.300047481016
2035-04-16 00:00:00,9.534757,10.34219,19.500343,4197.226174070238,6470.635065565148,3007.2548748748886,9.63081,10.436403,19.48828,5649.199108775065,16638.500760222087,5138.8127545524185
2035-05-16 12:00:00,16.061153,17.119862,25.882057,90.4822288151081,34.993519818772256,0.0,15.651328,16.924131,25.312336,1438.7111478552924,167.7571291986169,28.91385887855904
2035-06-16 00:00:00,22.288269,23.16885,31.822247,1429.7572664954714,205.9865871360671,28.24457376027567,22.008944,23.15508,31.296312,1057.9972010746133,15.83320769623242,0.0
2035-07-16 12:00:00,25.592882,27.525824,36.58044,22191.5415707379,13561.072259007597,5081.54666946366,24.46279,26.411188,35.025303,12405.853979703897,7977.417507512655,1974.5038792762443
2035-08-16 12:00:00,22.904367,25.312227,34.805412,30849.007326207357,32745.35116237239,32320.97244651677,22.575354,24.621195,33.563416,19422.920885847998,11733.932489651852,10323.198087458013
2035-09-16 00:00:00,19.356472,20.861761,29.905605,27148.116585274693,20908.65635263617,22662.9450224209,19.10502,20.765982,29.59091,9724.174974384368,14169.396022894944,3907.2458195701074
2035-10-16 12:00:00,12.630543,14.187108,23.121094,2008.5424670252905,949.0912787516208,116.28551057528966,12.795164,14.135498,22.728354,2755.877220720913,1475.417137785098,146.06085547743533
2035-11-16 00:00:00,7.6617446,8.639422,16.67946,12505.260116653517,17439.9519456274,13943.692460139573,8.807161,9.539185,17.548807,1219.4514536690804,856.5509078393916,19.613119836321857
2035-12-16 12:00:00,4.554805,5.550732,13.134716,11313.815608107689,9524.388083990561,8392.936160580666,3.9450266,5.051865,12.62766,10972.05023332208,5124.743582995006,7352.335308078364
2036-01-16 12:00:00,6.086027,7.698926,15.550071,2830.493197921851,4133.000142309265,917.2282599422942,5.2659016,6.786988,14.502415,4084.3334261178825,7916.619523755071,3385.1215810769645
2036-02-15 12:00:00,3.8708844,5.2768908,13.477055,6312.727762373106,8248.273219313705,3326.2401365949245,4.7625628,5.95067,14.553256,11024.274496840371,27015.01545389474,6807.4961378698845
2036-03-16 12:00:00,8.527637,9.552987,18.042547,763.5043288466022,426.0595544763419,0.0,8.845997,9.820497,18.084547,1968.2850418568705,4451.4498743496915,603.0707137047557
2036-04-16 00:00:00,12.195429,13.278632,21.650438,376.3489398747879,47.51896291418234,1.0200000015174737,11.574804,12.889188,20.961723,13563.193080655765,14138.520494336262,14887.973726459677
2036-05-16 12:00:00,16.457764,17.920061,26.423845,3725.4461269086732,324.2788174709858,0.5100000216316403,17.062805,18.446901,27.025354,8685.160875914016,1044.2435294058669,1274.7227111433858
2036-06-16 00:00:00,21.064022,23.58467,31.71748,13802.998907369329,11477.049543369503,6074.550736670972,20.828632,23.21493,31.600107,8953.738551639617,5655.09671475138,5209.143510198373
2036-07-16 12:00:00,24.944818,26.87441,35.642944,36654.62108714855,38072.3920839373,27072.520492607873,24.935057,26.550194,35.10562,31091.222137902514,19918.414720121655,7143.629298271708
2036-08-16 12:00:00,21.378254,23.247892,32.25731,61735.030698997434,58244.99160589767,48754.69651952371,21.474577,23.330854,32.80366,38832.630819728365,56128.060873865616,57800.38708435313
2036-09-16 00:00:00,18.115154,19.810312,29.058353,14182.134161383146,12371.855520839745,6885.250140386233,19.60523,20.984188,30.411636,28765.257896797266,58003.78387523233,55013.52560799569
2036-10-16 12:00:00,12.439624,13.684257,22.577263,3182.042411397151,4867.00776011221,2340.988099526112,12.612437,13.704252,23.187914,2746.9216428176424,3737.2283737715406,465.6323704425631
2036-11-16 00:00:00,9.422256,10.257359,18.634243,11488.84446786542,16958.706240307947,13241.354141271586,8.964861,9.792135,17.639849,12446.000231029757,22358.80581193487,24524.32588830561
2036-12-16 12:00:00,3.213035,3.6241226,12.288538,16162.298679555533,19431.566121516516,13381.099141762752,2.069415,2.526546,10.949108,13299.392398369673,12643.134293222101,13625.742012786213
2037-01-16 12:00:00,0.82304233,1.9092908,10.908862,70944.81962450081,63750.90521320235,75552.00306582847,1.752933,2.6709359,10.845539,15708.0179477809,11865.677243637583,15004.61570316802
2037-02-15 00:00:00,1.5705956,1.746955,10.217755,9923.022489307914,11646.70404974604,9782.332786424377,2.1562154,2.4457088,10.977624,16276.917720178608,23598.25459336862,22189.25926076481
2037-03-16 12:00:00,7.5593743,9.425219,18.154552,3026.7331052980353,4089.3567781180536,147.9233204922366,7.03966,8.886359,17.049831,34667.21891351044,41890.001172811026,55147.19837105367
2037-04-16 00:00:00,13.042945,14.250678,22.916487,635.2563412519885,140.4363519063736,0.0,12.982541,14.058981,22.85471,389.17110685224543,276.0372565844591,0.0
2037-05-16 12:00:00,17.90564,20.017784,28.853418,5977.6092329758285,2198.8744386573217,434.37505437987056,16.591852,18.288631,27.273438,1375.3737559431556,927.5681891565,215.79402199722608
2037-06-16 00:00:00,20.693228,22.027843,31.560116,8404.70935328267,2665.293661890246,197.14186545115808,20.827059,21.708338,31.289059,13684.627331182128,17519.015478384972,4205.4684489162355
2037-07-16 12:00:00,23.923294,25.110474,33.99099,3277.0108227882247,2424.4912591316734,78.0182864993094,24.271942,25.672865,34.711758,14553.352820588043,6204.375479349255,8613.40669838737
2037-08-16 12:00:00,22.676407,24.272861,33.503098,17618.29772082274,12588.189575299111,8043.608215837912,23.624958,25.279028,34.32027,39054.07073617098,59272.957709332695,59906.32901889912
2037-09-16 00:00:00,19.31348,20.90678,30.445272,22317.5379637687,16862.671343871625,9985.661546838855,20.003721,21.709307,31.172628,13910.257973344414,16860.635133110918,13318.059606339375
2037-10-16 12:00:00,10.45051,11.804486,21.33437,5410.953735811563,8552.377505169352,1609.5499392301917,13.411043,14.527789,23.982943,2084.35747987337,519.3163299689786,17.318895084463293
2037-11-16 00:00:00,9.201228,9.986347,17.857792,18681.471050687833,26111.10100625956,31445.11468235578,7.640661,8.03958,16.665386,5155.869600137521,1715.1218973699542,2260.4198349727085
2037-12-16 12:00:00,2.0204947,2.9912024,10.6863365,7922.173298551206,2737.679025632224,1934.0113074775672,2.9924939,4.3309445,12.328573,19068.585202092072,20317.346532183,27138.220742123667
2038-01-16 12:00:00,3.4073114,4.997073,11.940156,8852.949483097473,5369.2279218430485,4296.127991002686,3.589215,5.0036545,12.060942,8844.017375430849,10052.09820191958,4198.6314844638855
2038-02-15 00:00:00,4.9050803,6.2697654,14.4832115,25690.905185742304,39230.92102651717,26827.720122307073,3.7486372,5.1267815,13.591351,23360.170989856124,13258.399644697784,15213.558391507831
2038-03-16 12:00:00,8.519899,9.651195,18.074104,12106.874989211792,18730.090745780035,8256.686027271098,8.376267,9.709371,17.96926,10162.02997223736,8299.444606102043,12915.647898107818
2038-04-16 00:00:00,10.328275,11.545452,20.399326,11130.572286463575,10322.529136610683,7122.676821657478,11.331097,12.393919,21.418299,277.36402185337283,50.5125134905029,0.0
2038-05-16 12:00:00,17.479048,18.819246,27.664034,1034.488860904412,3524.4398834205185,903.3204913383997,16.831896,17.921371,26.714018,1193.094251696084,1342.932166717037,330.66982294189984
